Virtual User Script started at : 22/05/2014 16:20:43	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 12.0.0 for Windows 8; build 1362 (Feb  2 2014 23:20:03)  	[MsgId: MMSG-27143]
Run mode: HTML  	[MsgId: MMSG-26993]
Run-Time Settings file: "C:\Users\Richard\AppData\Local\Temp\lr5tmpdiriIm.338\lrcfg9ek.353\cfgJqX.354"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 2  	[MsgId: MMSG-26000]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0036 Wasted Time: 0.0035).	[MsgId: MMSG-16871]
Action.c(68): Sol Cowser Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.07 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0050 Wasted Time: 0.0049).	[MsgId: MMSG-16871]
Action.c(75): New Customer Sol Cowser is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.04 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Starting iteration 2.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0059 Wasted Time: 0.0058).	[MsgId: MMSG-16871]
Action.c(68): Louann Smethers Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.02 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0021 Wasted Time: 0.0021).	[MsgId: MMSG-16871]
Action.c(75): New Customer Louann Smethers is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 5.22 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 2.	[MsgId: MMSG-15965]
Starting iteration 3.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0059 Wasted Time: 0.0059).	[MsgId: MMSG-16871]
Action.c(68): Lindsay Yadao Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.36 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0023 Wasted Time: 0.0022).	[MsgId: MMSG-16871]
Action.c(75): New Customer Lindsay Yadao is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.67 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 3.	[MsgId: MMSG-15965]
Starting iteration 4.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0049 Wasted Time: 0.0049).	[MsgId: MMSG-16871]
Action.c(68): Malika Hanton Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 5.99 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0025 Wasted Time: 0.0025).	[MsgId: MMSG-16871]
Action.c(75): New Customer Malika Hanton is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.74 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 4.	[MsgId: MMSG-15965]
Starting iteration 5.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0045 Wasted Time: 0.0045).	[MsgId: MMSG-16871]
Action.c(68): Stefany Ferenz Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.38 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0053 Wasted Time: 0.0052).	[MsgId: MMSG-16871]
Action.c(75): New Customer Stefany Ferenz is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.37 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 5.	[MsgId: MMSG-15965]
Starting iteration 6.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0023 Wasted Time: 0.0023).	[MsgId: MMSG-16871]
Action.c(68): Abraham Cratch Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.45 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0060 Wasted Time: 0.0058).	[MsgId: MMSG-16871]
Action.c(75): New Customer Abraham Cratch is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.89 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 6.	[MsgId: MMSG-15965]
Starting iteration 7.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0052 Wasted Time: 0.0051).	[MsgId: MMSG-16871]
Action.c(68): Giuseppe Rohaley Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.66 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0057 Wasted Time: 0.0056).	[MsgId: MMSG-16871]
Action.c(75): New Customer Giuseppe Rohaley is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 5.44 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 7.	[MsgId: MMSG-15965]
Starting iteration 8.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0059 Wasted Time: 0.0058).	[MsgId: MMSG-16871]
Action.c(68): Kiera Bassil Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 5.21 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0078 Wasted Time: 0.0077).	[MsgId: MMSG-16871]
Action.c(75): New Customer Kiera Bassil is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 5.07 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 8.	[MsgId: MMSG-15965]
Starting iteration 9.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0059 Wasted Time: 0.0059).	[MsgId: MMSG-16871]
Action.c(68): Wendell Rubano Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 5.29 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0030 Wasted Time: 0.0030).	[MsgId: MMSG-16871]
Action.c(75): New Customer Wendell Rubano is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.71 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 9.	[MsgId: MMSG-15965]
Starting iteration 10.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0043 Wasted Time: 0.0043).	[MsgId: MMSG-16871]
Action.c(68): Stevie Stifflemire Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 5.15 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0023 Wasted Time: 0.0023).	[MsgId: MMSG-16871]
Action.c(75): New Customer Stevie Stifflemire is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.00 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 10.	[MsgId: MMSG-15965]
Starting iteration 11.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0050 Wasted Time: 0.0049).	[MsgId: MMSG-16871]
Action.c(68): Yun Paletta Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 5.78 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0039 Wasted Time: 0.0039).	[MsgId: MMSG-16871]
Action.c(75): New Customer Yun Paletta is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.61 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 11.	[MsgId: MMSG-15965]
Starting iteration 12.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0037 Wasted Time: 0.0037).	[MsgId: MMSG-16871]
Action.c(68): Brittani Thurm Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.27 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0032 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(75): New Customer Brittani Thurm is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 5.28 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 12.	[MsgId: MMSG-15965]
Starting iteration 13.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0056 Wasted Time: 0.0055).	[MsgId: MMSG-16871]
Action.c(68): Billy Venus Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.67 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0045 Wasted Time: 0.0044).	[MsgId: MMSG-16871]
Action.c(75): New Customer Billy Venus is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.47 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 13.	[MsgId: MMSG-15965]
Starting iteration 14.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0057 Wasted Time: 0.0057).	[MsgId: MMSG-16871]
Action.c(68): Brynn Elkan Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 5.99 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0038 Wasted Time: 0.0036).	[MsgId: MMSG-16871]
Action.c(75): New Customer Brynn Elkan is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 5.49 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 14.	[MsgId: MMSG-15965]
Starting iteration 15.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0070 Wasted Time: 0.0069).	[MsgId: MMSG-16871]
Action.c(68): Elroy Piehler Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.61 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0057 Wasted Time: 0.0056).	[MsgId: MMSG-16871]
Action.c(75): New Customer Elroy Piehler is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 5.88 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 15.	[MsgId: MMSG-15965]
Starting iteration 16.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0057 Wasted Time: 0.0056).	[MsgId: MMSG-16871]
Action.c(68): Anisha Shulick Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 5.79 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0065 Wasted Time: 0.0064).	[MsgId: MMSG-16871]
Action.c(75): New Customer Anisha Shulick is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 5.81 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 16.	[MsgId: MMSG-15965]
Starting iteration 17.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0034 Wasted Time: 0.0033).	[MsgId: MMSG-16871]
Action.c(68): Bettina Kham Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 4.32 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0067 Wasted Time: 0.0065).	[MsgId: MMSG-16871]
Action.c(75): New Customer Bettina Kham is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.98 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 17.	[MsgId: MMSG-15965]
Starting iteration 18.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0058 Wasted Time: 0.0058).	[MsgId: MMSG-16871]
Action.c(68): Velda Mancilla Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 5.54 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0094 Wasted Time: 0.0091).	[MsgId: MMSG-16871]
Action.c(75): New Customer Velda Mancilla is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.23 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 18.	[MsgId: MMSG-15965]
Starting iteration 19.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0052 Wasted Time: 0.0051).	[MsgId: MMSG-16871]
Action.c(68): Marta Brace Registered as a new customer	[MsgId: MMSG-17999]
Action.c(72): lr_think_time: 5.73 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(46): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(53): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0063 Wasted Time: 0.0062).	[MsgId: MMSG-16871]
Action.c(75): New Customer Marta Brace is now awaiting approval	[MsgId: MMSG-17999]
Action.c(79): lr_think_time: 4.39 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 19.	[MsgId: MMSG-15965]
Starting iteration 20.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
