Virtual User Script started at : 22/05/2014 16:38:00	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 12.0.0 for Windows 8; build 1362 (Feb  2 2014 23:20:03)  	[MsgId: MMSG-27143]
Run mode: HTML  	[MsgId: MMSG-26993]
Run-Time Settings file: "C:\Users\Richard\AppData\Local\Temp\lr5tmpdiriIm.338\lrcfg9ek.353\cfgJqX.354"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 2  	[MsgId: MMSG-26000]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0059 Wasted Time: 0.0058).	[MsgId: MMSG-16871]
Action.c(72): Thad Puskarich Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.65 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0059 Wasted Time: 0.0058).	[MsgId: MMSG-16871]
Action.c(79): New Customer Thad Puskarich is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 4.11 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Starting iteration 2.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0050 Wasted Time: 0.0049).	[MsgId: MMSG-16871]
Action.c(72): Bambi Favaron Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.47 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0056 Wasted Time: 0.0056).	[MsgId: MMSG-16871]
Action.c(79): New Customer Bambi Favaron is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 4.97 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 2.	[MsgId: MMSG-15965]
Starting iteration 3.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0047 Wasted Time: 0.0046).	[MsgId: MMSG-16871]
Action.c(72): Marshall Kozikowski Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.76 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0102 Wasted Time: 0.0101).	[MsgId: MMSG-16871]
Action.c(79): New Customer Marshall Kozikowski is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.73 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 3.	[MsgId: MMSG-15965]
Starting iteration 4.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0047 Wasted Time: 0.0046).	[MsgId: MMSG-16871]
Action.c(72): Chery Wiederin Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.96 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0056 Wasted Time: 0.0055).	[MsgId: MMSG-16871]
Action.c(79): New Customer Chery Wiederin is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.42 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 4.	[MsgId: MMSG-15965]
Starting iteration 5.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0037 Wasted Time: 0.0037).	[MsgId: MMSG-16871]
Action.c(72): Eileen Montecalvo Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.60 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0032 Wasted Time: 0.0031).	[MsgId: MMSG-16871]
Action.c(79): New Customer Eileen Montecalvo is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.45 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 5.	[MsgId: MMSG-15965]
Starting iteration 6.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0033 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(72): Melita Szpak Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.17 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0044 Wasted Time: 0.0044).	[MsgId: MMSG-16871]
Action.c(79): New Customer Melita Szpak is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 4.25 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 6.	[MsgId: MMSG-15965]
Starting iteration 7.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0031 Wasted Time: 0.0030).	[MsgId: MMSG-16871]
Action.c(72): Ashley Jessie Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.50 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0067 Wasted Time: 0.0066).	[MsgId: MMSG-16871]
Action.c(79): New Customer Ashley Jessie is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 4.70 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 7.	[MsgId: MMSG-15965]
Starting iteration 8.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0054 Wasted Time: 0.0053).	[MsgId: MMSG-16871]
Action.c(72): Laila Fend Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.03 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0058 Wasted Time: 0.0058).	[MsgId: MMSG-16871]
Action.c(79): New Customer Laila Fend is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 4.57 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 8.	[MsgId: MMSG-15965]
Starting iteration 9.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0048 Wasted Time: 0.0048).	[MsgId: MMSG-16871]
Action.c(72): Bobbie Guillereault Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.46 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0061 Wasted Time: 0.0060).	[MsgId: MMSG-16871]
Action.c(79): New Customer Bobbie Guillereault is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.28 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 9.	[MsgId: MMSG-15965]
Starting iteration 10.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0060 Wasted Time: 0.0060).	[MsgId: MMSG-16871]
Action.c(72): Dana Paluszynski Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.37 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0027 Wasted Time: 0.0027).	[MsgId: MMSG-16871]
Action.c(79): New Customer Dana Paluszynski is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.44 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 10.	[MsgId: MMSG-15965]
Starting iteration 11.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0046 Wasted Time: 0.0046).	[MsgId: MMSG-16871]
Action.c(72): Freida Newyear Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.51 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0043 Wasted Time: 0.0042).	[MsgId: MMSG-16871]
Action.c(79): New Customer Freida Newyear is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 4.63 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 11.	[MsgId: MMSG-15965]
Starting iteration 12.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0045 Wasted Time: 0.0045).	[MsgId: MMSG-16871]
Action.c(72): Val Cellucci Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.78 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0047 Wasted Time: 0.0047).	[MsgId: MMSG-16871]
Action.c(79): New Customer Val Cellucci is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.92 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 12.	[MsgId: MMSG-15965]
Starting iteration 13.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0037 Wasted Time: 0.0036).	[MsgId: MMSG-16871]
Action.c(72): Horace Knapp Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 6.00 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0040 Wasted Time: 0.0039).	[MsgId: MMSG-16871]
Action.c(79): New Customer Horace Knapp is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.62 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 13.	[MsgId: MMSG-15965]
Starting iteration 14.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0053 Wasted Time: 0.0052).	[MsgId: MMSG-16871]
Action.c(72): Joana Reinecke Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.62 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0078 Wasted Time: 0.0076).	[MsgId: MMSG-16871]
Action.c(79): New Customer Joana Reinecke is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.60 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 14.	[MsgId: MMSG-15965]
Starting iteration 15.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0062 Wasted Time: 0.0062).	[MsgId: MMSG-16871]
Action.c(72): Tiara Schlichter Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.42 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0051 Wasted Time: 0.0050).	[MsgId: MMSG-16871]
Action.c(79): New Customer Tiara Schlichter is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.73 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 15.	[MsgId: MMSG-15965]
Starting iteration 16.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0055 Wasted Time: 0.0055).	[MsgId: MMSG-16871]
Action.c(72): Dacia Swaisgood Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.01 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0047 Wasted Time: 0.0047).	[MsgId: MMSG-16871]
Action.c(79): New Customer Dacia Swaisgood is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.09 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 16.	[MsgId: MMSG-15965]
Starting iteration 17.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0046 Wasted Time: 0.0046).	[MsgId: MMSG-16871]
Action.c(72): Myong Babineaux Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.85 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0033 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(79): New Customer Myong Babineaux is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.88 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 17.	[MsgId: MMSG-15965]
Starting iteration 18.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0031 Wasted Time: 0.0030).	[MsgId: MMSG-16871]
Action.c(72): Gene Bleile Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.59 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0046 Wasted Time: 0.0045).	[MsgId: MMSG-16871]
Action.c(79): New Customer Gene Bleile is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.26 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 18.	[MsgId: MMSG-15965]
Starting iteration 19.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP1_RegisterNew_GetData" ended with "Pass" status (Duration: 0.0057 Wasted Time: 0.0057).	[MsgId: MMSG-16871]
Action.c(72): Kanisha Difiora Registered as a new customer	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.67 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(48): Notify: Transaction "BP2_RegisterNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(55): Notify: Transaction "BP2_RegisterNew_WriteData" ended with "Pass" status (Duration: 0.0031 Wasted Time: 0.0031).	[MsgId: MMSG-16871]
Action.c(79): New Customer Kanisha Difiora is now awaiting approval	[MsgId: MMSG-17999]
Action.c(83): lr_think_time: 5.39 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 19.	[MsgId: MMSG-15965]
Starting iteration 20.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP1_RegisterNew_GetData" started.	[MsgId: MMSG-16999]
