Virtual User Script started at : 22/05/2014 16:20:43	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 12.0.0 for Windows 8; build 1362 (Feb  2 2014 23:20:03)  	[MsgId: MMSG-27143]
Run mode: HTML  	[MsgId: MMSG-26993]
Run-Time Settings file: "C:\Users\Richard\AppData\Local\Temp\lr5tmpdiriIm.338\lrcfg9ek.353\cfg9xf.356"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 2  	[MsgId: MMSG-26000]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0053 Wasted Time: 0.0053).	[MsgId: MMSG-16871]
Action.c(63): Chantay Kamens Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.01 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0040 Wasted Time: 0.0039).	[MsgId: MMSG-16871]
Action.c(70): Chantay Kamens approved, username is [Chantay_Kamens]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.69 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Starting iteration 2.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0054 Wasted Time: 0.0054).	[MsgId: MMSG-16871]
Action.c(63): Tequila Chisum Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.03 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0031 Wasted Time: 0.0030).	[MsgId: MMSG-16871]
Action.c(70): Tequila Chisum approved, username is [Tequila_Chisum]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.95 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 2.	[MsgId: MMSG-15965]
Starting iteration 3.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0045 Wasted Time: 0.0044).	[MsgId: MMSG-16871]
Action.c(63): Maybelle Consolazio Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 4.84 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0032 Wasted Time: 0.0031).	[MsgId: MMSG-16871]
Action.c(70): Maybelle Consolazio approved, username is [Maybelle_Consolazio]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.86 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 3.	[MsgId: MMSG-15965]
Starting iteration 4.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0059 Wasted Time: 0.0059).	[MsgId: MMSG-16871]
Action.c(63): Margarett Bairo Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 4.03 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0036 Wasted Time: 0.0036).	[MsgId: MMSG-16871]
Action.c(70): Margarett Bairo approved, username is [Margarett_Bairo]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.34 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 4.	[MsgId: MMSG-15965]
Starting iteration 5.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0033 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(63): Janessa Noonon Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.77 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0060 Wasted Time: 0.0059).	[MsgId: MMSG-16871]
Action.c(70): Janessa Noonon approved, username is [Janessa_Noonon]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.55 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 5.	[MsgId: MMSG-15965]
Starting iteration 6.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0054 Wasted Time: 0.0054).	[MsgId: MMSG-16871]
Action.c(63): Sol Cowser Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.37 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0027 Wasted Time: 0.0026).	[MsgId: MMSG-16871]
Action.c(70): Sol Cowser approved, username is [Sol_Cowser]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.61 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 6.	[MsgId: MMSG-15965]
Starting iteration 7.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0044 Wasted Time: 0.0043).	[MsgId: MMSG-16871]
Action.c(63): Louann Smethers Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.23 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0051 Wasted Time: 0.0051).	[MsgId: MMSG-16871]
Action.c(70): Louann Smethers approved, username is [Louann_Smethers]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.25 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 7.	[MsgId: MMSG-15965]
Starting iteration 8.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0087 Wasted Time: 0.0085).	[MsgId: MMSG-16871]
Action.c(63): Lindsay Yadao Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.88 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0084 Wasted Time: 0.0082).	[MsgId: MMSG-16871]
Action.c(70): Lindsay Yadao approved, username is [Lindsay_Yadao]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.84 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 8.	[MsgId: MMSG-15965]
Starting iteration 9.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0023 Wasted Time: 0.0023).	[MsgId: MMSG-16871]
Action.c(63): Malika Hanton Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 4.06 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0054 Wasted Time: 0.0053).	[MsgId: MMSG-16871]
Action.c(70): Malika Hanton approved, username is [Malika_Hanton]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.64 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 9.	[MsgId: MMSG-15965]
Starting iteration 10.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0051 Wasted Time: 0.0050).	[MsgId: MMSG-16871]
Action.c(63): Stefany Ferenz Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.66 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0045 Wasted Time: 0.0045).	[MsgId: MMSG-16871]
Action.c(70): Stefany Ferenz approved, username is [Stefany_Ferenz]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.07 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 10.	[MsgId: MMSG-15965]
Starting iteration 11.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0026 Wasted Time: 0.0026).	[MsgId: MMSG-16871]
Action.c(63): Abraham Cratch Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 4.97 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0078 Wasted Time: 0.0077).	[MsgId: MMSG-16871]
Action.c(70): Abraham Cratch approved, username is [Abraham_Cratch]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.28 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 11.	[MsgId: MMSG-15965]
Starting iteration 12.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0032 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(63): Giuseppe Rohaley Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.30 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0041 Wasted Time: 0.0040).	[MsgId: MMSG-16871]
Action.c(70): Giuseppe Rohaley approved, username is [Giuseppe_Rohaley]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.14 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 12.	[MsgId: MMSG-15965]
Starting iteration 13.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0051 Wasted Time: 0.0051).	[MsgId: MMSG-16871]
Action.c(63): Kiera Bassil Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.47 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0041 Wasted Time: 0.0041).	[MsgId: MMSG-16871]
Action.c(70): Kiera Bassil approved, username is [Kiera_Bassil]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.49 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 13.	[MsgId: MMSG-15965]
Starting iteration 14.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0076 Wasted Time: 0.0076).	[MsgId: MMSG-16871]
Action.c(63): Wendell Rubano Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 4.93 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0037 Wasted Time: 0.0037).	[MsgId: MMSG-16871]
Action.c(70): Wendell Rubano approved, username is [Wendell_Rubano]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.30 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 14.	[MsgId: MMSG-15965]
Starting iteration 15.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0033 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(63): Stevie Stifflemire Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 4.60 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0026 Wasted Time: 0.0025).	[MsgId: MMSG-16871]
Action.c(70): Stevie Stifflemire approved, username is [Stevie_Stifflemire]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.76 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 15.	[MsgId: MMSG-15965]
Starting iteration 16.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0030 Wasted Time: 0.0030).	[MsgId: MMSG-16871]
Action.c(63): Yun Paletta Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.29 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0062 Wasted Time: 0.0062).	[MsgId: MMSG-16871]
Action.c(70): Yun Paletta approved, username is [Yun_Paletta]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.93 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 16.	[MsgId: MMSG-15965]
Starting iteration 17.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0059 Wasted Time: 0.0058).	[MsgId: MMSG-16871]
Action.c(63): Brittani Thurm Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 4.76 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0034 Wasted Time: 0.0034).	[MsgId: MMSG-16871]
Action.c(70): Brittani Thurm approved, username is [Brittani_Thurm]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.74 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 17.	[MsgId: MMSG-15965]
Starting iteration 18.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0033 Wasted Time: 0.0033).	[MsgId: MMSG-16871]
Action.c(63): Billy Venus Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.31 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0045 Wasted Time: 0.0045).	[MsgId: MMSG-16871]
Action.c(70): Billy Venus approved, username is [Billy_Venus]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.11 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 18.	[MsgId: MMSG-15965]
Starting iteration 19.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0032 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(63): Brynn Elkan Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.90 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0036 Wasted Time: 0.0036).	[MsgId: MMSG-16871]
Action.c(70): Brynn Elkan approved, username is [Brynn_Elkan]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.61 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 19.	[MsgId: MMSG-15965]
Starting iteration 20.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
