Virtual User Script started at : 22/05/2014 16:38:00	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 12.0.0 for Windows 8; build 1362 (Feb  2 2014 23:20:03)  	[MsgId: MMSG-27143]
Run mode: HTML  	[MsgId: MMSG-26993]
Run-Time Settings file: "C:\Users\Richard\AppData\Local\Temp\lr5tmpdiriIm.338\lrcfg9ek.353\cfg9xf.356"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 2  	[MsgId: MMSG-26000]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0071 Wasted Time: 0.0070).	[MsgId: MMSG-16871]
Action.c(67): Leota Fletchen Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.42 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0040 Wasted Time: 0.0039).	[MsgId: MMSG-16871]
Action.c(74): Leota Fletchen approved, username is [Leota_Fletchen]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 4.12 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Starting iteration 2.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0061 Wasted Time: 0.0061).	[MsgId: MMSG-16871]
Action.c(67): Berry Gutoski Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.04 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0041 Wasted Time: 0.0040).	[MsgId: MMSG-16871]
Action.c(74): Berry Gutoski approved, username is [Berry_Gutoski]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 4.85 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 2.	[MsgId: MMSG-15965]
Starting iteration 3.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0057 Wasted Time: 0.0057).	[MsgId: MMSG-16871]
Action.c(67): Meghan Riherd Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 4.21 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0036 Wasted Time: 0.0036).	[MsgId: MMSG-16871]
Action.c(74): Meghan Riherd approved, username is [Meghan_Riherd]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 4.86 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 3.	[MsgId: MMSG-15965]
Starting iteration 4.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0056 Wasted Time: 0.0056).	[MsgId: MMSG-16871]
Action.c(67): Mike Torner Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.95 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0028 Wasted Time: 0.0028).	[MsgId: MMSG-16871]
Action.c(74): Mike Torner approved, username is [Mike_Torner]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 4.34 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 4.	[MsgId: MMSG-15965]
Starting iteration 5.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0071 Wasted Time: 0.0070).	[MsgId: MMSG-16871]
Action.c(67): Elsa Delisle Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.41 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0037 Wasted Time: 0.0036).	[MsgId: MMSG-16871]
Action.c(74): Elsa Delisle approved, username is [Elsa_Delisle]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 5.47 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 5.	[MsgId: MMSG-15965]
Starting iteration 6.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0027 Wasted Time: 0.0027).	[MsgId: MMSG-16871]
Action.c(67): Linwood Rosenlof Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 4.92 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0032 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(74): Linwood Rosenlof approved, username is [Linwood_Rosenlof]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 5.73 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 6.	[MsgId: MMSG-15965]
Starting iteration 7.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0033 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(67): Latosha Alexy Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.92 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0044 Wasted Time: 0.0043).	[MsgId: MMSG-16871]
Action.c(74): Latosha Alexy approved, username is [Latosha_Alexy]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 5.20 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 7.	[MsgId: MMSG-15965]
Starting iteration 8.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0052 Wasted Time: 0.0051).	[MsgId: MMSG-16871]
Action.c(67): Alexia Meenan Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.77 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0041 Wasted Time: 0.0041).	[MsgId: MMSG-16871]
Action.c(74): Alexia Meenan approved, username is [Alexia_Meenan]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 4.44 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 8.	[MsgId: MMSG-15965]
Starting iteration 9.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0105 Wasted Time: 0.0089).	[MsgId: MMSG-16871]
Action.c(67): Graham Stanwick Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.37 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0046 Wasted Time: 0.0045).	[MsgId: MMSG-16871]
Action.c(74): Graham Stanwick approved, username is [Graham_Stanwick]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 5.08 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 9.	[MsgId: MMSG-15965]
Starting iteration 10.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0030 Wasted Time: 0.0030).	[MsgId: MMSG-16871]
Action.c(67): Elinore Fulda Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.03 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0026 Wasted Time: 0.0025).	[MsgId: MMSG-16871]
Action.c(74): Elinore Fulda approved, username is [Elinore_Fulda]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 4.23 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 10.	[MsgId: MMSG-15965]
Starting iteration 11.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0081 Wasted Time: 0.0080).	[MsgId: MMSG-16871]
Action.c(67): Lisbeth Creecy Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.89 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0038 Wasted Time: 0.0037).	[MsgId: MMSG-16871]
Action.c(74): Lisbeth Creecy approved, username is [Lisbeth_Creecy]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 5.52 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 11.	[MsgId: MMSG-15965]
Starting iteration 12.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0022 Wasted Time: 0.0022).	[MsgId: MMSG-16871]
Action.c(67): Lisbeth Creecy Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.33 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0043 Wasted Time: 0.0043).	[MsgId: MMSG-16871]
Action.c(74): Lisbeth Creecy approved, username is [Lisbeth_Creecy]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 5.12 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 12.	[MsgId: MMSG-15965]
Starting iteration 13.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0061 Wasted Time: 0.0061).	[MsgId: MMSG-16871]
Action.c(67): Val Cellucci Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.44 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0021 Wasted Time: 0.0021).	[MsgId: MMSG-16871]
Action.c(74): Val Cellucci approved, username is [Val_Cellucci]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 6.00 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 13.	[MsgId: MMSG-15965]
Starting iteration 14.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0069 Wasted Time: 0.0068).	[MsgId: MMSG-16871]
Action.c(67): Horace Knapp Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.80 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0045 Wasted Time: 0.0044).	[MsgId: MMSG-16871]
Action.c(74): Horace Knapp approved, username is [Horace_Knapp]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 5.68 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 14.	[MsgId: MMSG-15965]
Starting iteration 15.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0050 Wasted Time: 0.0050).	[MsgId: MMSG-16871]
Action.c(67): Joana Reinecke Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.16 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0047 Wasted Time: 0.0046).	[MsgId: MMSG-16871]
Action.c(74): Joana Reinecke approved, username is [Joana_Reinecke]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 4.49 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 15.	[MsgId: MMSG-15965]
Starting iteration 16.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0128 Wasted Time: 0.0127).	[MsgId: MMSG-16871]
Action.c(67): Tiara Schlichter Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 4.73 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0057 Wasted Time: 0.0056).	[MsgId: MMSG-16871]
Action.c(74): Tiara Schlichter approved, username is [Tiara_Schlichter]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 4.31 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 16.	[MsgId: MMSG-15965]
Starting iteration 17.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0168 Wasted Time: 0.0167).	[MsgId: MMSG-16871]
Action.c(67): Dacia Swaisgood Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 4.79 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0038 Wasted Time: 0.0038).	[MsgId: MMSG-16871]
Action.c(74): Dacia Swaisgood approved, username is [Dacia_Swaisgood]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 5.99 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 17.	[MsgId: MMSG-15965]
Starting iteration 18.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0043 Wasted Time: 0.0042).	[MsgId: MMSG-16871]
Action.c(67): Myong Babineaux Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 4.21 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0035 Wasted Time: 0.0035).	[MsgId: MMSG-16871]
Action.c(74): Myong Babineaux approved, username is [Myong_Babineaux]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 5.04 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 18.	[MsgId: MMSG-15965]
Starting iteration 19.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "BP3_ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "BP3_ApproveNew_GetData" ended with "Pass" status (Duration: 0.0047 Wasted Time: 0.0047).	[MsgId: MMSG-16871]
Action.c(67): Gene Bleile Awaiting approval	[MsgId: MMSG-17999]
Action.c(71): lr_think_time: 5.37 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(43): Notify: Transaction "BP4_ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(50): Notify: Transaction "BP4_ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0033 Wasted Time: 0.0033).	[MsgId: MMSG-16871]
Action.c(74): Gene Bleile approved, username is [Gene_Bleile]	[MsgId: MMSG-17999]
Action.c(80): lr_think_time: 4.72 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 19.	[MsgId: MMSG-15965]
Starting iteration 20.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
