Virtual User Script started at : 22/05/2014 16:17:50	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 12.0.0 for Windows 8; build 1362 (Feb  2 2014 23:20:03)  	[MsgId: MMSG-27143]
Run mode: HTML  	[MsgId: MMSG-26993]
Run-Time Settings file: "C:\Users\Richard\AppData\Local\Temp\lr5tmpdiriIm.338\lrcfgj3w.339\cfgmkk.348"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 2  	[MsgId: MMSG-26000]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "ApproveNew_GetData" ended with "Pass" status (Duration: 0.0033 Wasted Time: 0.0032).	[MsgId: MMSG-16871]
Action.c(63): Dustin Klingaman Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.91 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0119 Wasted Time: 0.0118).	[MsgId: MMSG-16871]
Action.c(70): Dustin Klingaman approved, username is [Dustin_Klingaman]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.07 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Starting iteration 2.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "ApproveNew_GetData" ended with "Pass" status (Duration: 0.0055 Wasted Time: 0.0055).	[MsgId: MMSG-16871]
Action.c(63): Lyndia Moonshower Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 4.23 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0044 Wasted Time: 0.0043).	[MsgId: MMSG-16871]
Action.c(70): Lyndia Moonshower approved, username is [Lyndia_Moonshower]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.46 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 2.	[MsgId: MMSG-15965]
Starting iteration 3.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "ApproveNew_GetData" ended with "Pass" status (Duration: 0.0061 Wasted Time: 0.0061).	[MsgId: MMSG-16871]
Action.c(63): Jules Hiltner Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.60 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0050 Wasted Time: 0.0049).	[MsgId: MMSG-16871]
Action.c(70): Jules Hiltner approved, username is [Jules_Hiltner]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.18 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 3.	[MsgId: MMSG-15965]
Starting iteration 4.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "ApproveNew_GetData" ended with "Pass" status (Duration: 0.0083 Wasted Time: 0.0082).	[MsgId: MMSG-16871]
Action.c(63): Dong Kopczynski Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.08 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0043 Wasted Time: 0.0042).	[MsgId: MMSG-16871]
Action.c(70): Dong Kopczynski approved, username is [Dong_Kopczynski]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 5.20 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 4.	[MsgId: MMSG-15965]
Starting iteration 5.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(18): Notify: Transaction "ApproveNew_GetData" started.	[MsgId: MMSG-16999]
Action.c(25): Notify: Transaction "ApproveNew_GetData" ended with "Pass" status (Duration: 0.0066 Wasted Time: 0.0066).	[MsgId: MMSG-16871]
Action.c(63): Justine Salta Awaiting approval	[MsgId: MMSG-17999]
Action.c(67): lr_think_time: 5.33 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action.c(41): Notify: Transaction "ApproveNew_WriteData" started.	[MsgId: MMSG-16999]
Action.c(48): Notify: Transaction "ApproveNew_WriteData" ended with "Pass" status (Duration: 0.0036 Wasted Time: 0.0035).	[MsgId: MMSG-16871]
Action.c(70): Justine Salta approved, username is [Justine_Salta]	[MsgId: MMSG-17999]
Action.c(76): lr_think_time: 4.08 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Ending action Action.	[MsgId: MMSG-15918]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
